product_name,category,price,brand,description
Bajaj Bright 18W LED Tube,Electrical,320,Bajaj,Bajaj Bright 18W LED tube light 4000K neutral white. 1800 lumen direct wire.
Philips Smart LED Strip 5m,Electrical,1200,Philips,Philips Hue Lightstrip 5m LED strip. RGB colour changing. IP20 indoor.
Luminous 100Ah Battery,Electrical,9500,Luminous,Luminous Red Charge 100Ah tall tubular inverter battery. 36-month warranty.
Amaron Quanta 42Ah Battery,Electrical,4800,Amaron,Amaron Quanta 42Ah sealed VRLA battery for UPS and inverters.
Kirloskar 1HP Submersible Pump,Electrical,6800,Kirloskar,Kirloskar Jalraaj 1HP submersible pump 4 stage. 5000 LPH at 25m head.
Taparia 500g Claw Hammer,Hardware,320,Taparia,Drop-forged claw hammer 500g with fibreglass handle. Comfortable cushion grip.
Stanley 8m Measuring Tape,Hardware,380,Stanley,Stanley FatMax 8m x 32mm auto-lock tape with magnetic end hook and rubber case.
Bosch GSB 450 Drill Machine,Hardware,2200,Bosch,Bosch GSB 450 impact drill 450W variable-speed reversible with 10mm chuck.
Bosch 8mm Masonry Drill Bit,Hardware,65,Bosch,Bosch CYL-3 8mm masonry drill bit with carbide tip. For concrete and brick.
Taparia Combination Pliers 8 inch,Hardware,280,Taparia,Chrome vanadium combination pliers 200mm. Bi-material grip handles.
Stanley Insulated Screwdriver Set,Hardware,580,Stanley,Stanley VDE 6-piece insulated screwdriver set. 1000V rated. Flat + Phillips.
Taparia Adjustable Spanner 12 inch,Hardware,420,Taparia,Drop-forged adjustable spanner 300mm. Opens to 36mm jaw capacity.
Taparia Hacksaw Frame 12 inch,Hardware,180,Taparia,Adjustable hacksaw frame 300mm with 24 TPI blade included. Tubular steel body.
Stanley Box Cutter Knife,Hardware,145,Stanley,Stanley retractable box cutter with quick blade-change mechanism. Metal body.
Cello M-Seal Epoxy Putty 50g,Hardware,85,Cello,"Cello M-Seal two-part epoxy putty 50g. Bonds steel, iron, wood, PVC in 25 min."
Araldite Standard Epoxy 90ml,Hardware,180,Araldite,"Araldite Standard two-component epoxy adhesive 90ml. Bonds metal, wood, ceramic."
Fevicol SH White Adhesive 1kg,Hardware,280,Fevicol,"Fevicol SH solvent-free wood adhesive 1kg. For furniture, plywood, laminate."
Taparia Spirit Level 24 inch,Hardware,520,Taparia,"Aluminium spirit level 600mm with 3 vials (horizontal, vertical, 45 degree)."
Bosch 10.8V Cordless Drill Li-Ion,Hardware,5800,Bosch,"Bosch GSB 10.8V Li-Ion cordless drill/driver. 2-speed, 21 torque settings."
Fischer S6 Wall Plugs 50pc,Hardware,95,Fischer,Fischer S6 nylon anchor plug 50-piece pack. For light to medium fixings.
Asian Paints Acrylic Wall Putty 1L,Hardware,180,Asian Paints,Asian Paints Acrylic Wall Putty 1L. Smooth filling for cement plastered walls.
Berger Weathercoat Exterior 1L,Hardware,280,Berger,"Berger Weathercoat all-guard exterior emulsion 1L. Water-resistant, UV-stable."
Nippon Vinilex Interior Paint 1L,Hardware,250,Nippon Paint,Nippon Vinilex economy interior emulsion 1L. Smooth matt finish.
Ambica GI Wire 20 Gauge 1kg,Hardware,95,Ambica,Galvanised iron binding wire 20-gauge 1kg. For construction and fencing use.
Black & Decker 400W Jigsaw,Hardware,3500,Black & Decker,"Black & Decker 400W jigsaw with pendulum action. Cuts wood, metal, plastic."
Taparia Allen Key Set 9pc,Hardware,220,Taparia,Taparia metric hex Allen key set 9 pieces 1.5-10mm. Chrome vanadium steel.
Stanley Combination Square 12 inch,Hardware,420,Stanley,Stanley combination square 300mm with spirit level and adjustable blade.
Rawal Anchor Bolt M10x100mm 10pc,Hardware,180,Rawal,Rawal expansion anchor bolt M10x100mm 10-piece for concrete wall mounting.
Pidilite Dr Fixit Crack Fill 1kg,Hardware,280,Pidilite,"Pidilite Dr Fixit polyurethane crack filler 1kg. For concrete, brick cracks."
3M Scotch Masking Tape 48mm 50m,Hardware,145,3M,"3M Scotch masking tape 48mm x 50m. Clean peel, no residue. For painting."
Dewalt Drill Bit Set 13pc,Hardware,850,Dewalt,Dewalt HSS titanium drill bit set 13-piece 1.5-6.5mm in indexed metal case.
National Safety Helmet Yellow,Hardware,350,National Safety,HDPE safety helmet with ratchet suspension. IS 2925 certified. Yellow.
Dunlop Steel-Toe Safety Shoes,Hardware,1650,Dunlop,"Dunlop steel-toe safety shoe PVC upper, slip-resistant sole. Size 7-10."
Karam Full-Body Safety Harness,Hardware,2800,Karam,Karam PN 80 full-body safety harness. IS 3521 certified. For work at height.
Masonite 9mm Plywood Sheet 4x8ft,Hardware,1200,Masonite,"ISI-marked 9mm commercial plywood 4x8ft. Eucalyptus core, smooth face."
Kamdhenu TMT Bar 8mm per kg,Hardware,65,Kamdhenu,Kamdhenu Fe500D TMT reinforcement bar 8mm. Per kg. Earthquake-resistant.
PolyGrip PVC Adhesive 50ml,Hardware,65,PolyGrip,"PolyGrip contact adhesive 50ml for rubber, leather, foam, canvas bonding."
Lapp Cable Gland M20,Hardware,45,Lapp,Lapp SKINTOP brass cable gland M20 for armoured cable termination. IP68.
Taparia Hacksaw Blade 12in 32TPI,Hardware,25,Taparia,Bi-metal hacksaw blade 300mm 32TPI for cutting stainless steel.
Kenwood Cut-C Safety Gloves,Hardware,280,Kenwood,Cut-resistant gloves Level C. EN388 certified. For grinding and cutting.
3M P100 Half-Face Respirator,Hardware,1800,3M,3M 7502 half-face respirator with P100 filters. Reusable. Fits most sizes.
Gripwell Wire Rope 6mm 100m,Hardware,3800,Gripwell,6mm galvanised wire rope 6x7 core 100m coil. For hoisting and lashing.
Bison Fibre Cement Board 6mm,Hardware,480,Bison,"Fibre cement flat sheet 6mm 8x4ft for exterior cladding, wet area lining."
Paragon Slicker Men Slippers,Footwear,199,Paragon,"Paragon Slicker EVA slipper for men. Lightweight, cushioned, anti-skid sole."
Paragon Softflex Women Slippers,Footwear,179,Paragon,"Paragon Softflex ladies EVA slipper. Flexible, comfortable for all-day wear."
Bata Hawai Men Slippers,Footwear,249,Bata,Bata Hawai rubber slipper for men. Classic open-toe design. Machine washable.
Liberty Glito School Shoes Black,Footwear,799,Liberty,Liberty Glito lace-up school shoe for boys. Black genuine leather upper.
Bata North Star Canvas Shoe,Footwear,999,Bata,"Bata North Star white canvas sneaker for kids. Cotton upper, rubber sole."
Action Aster Running Shoe,Footwear,1299,Action,Action Aster lightweight running shoe. EVA midsole with mesh upper. Unisex.
Asian Shoes Spark-01 Running,Footwear,699,Asian,"Asian Spark-01 sports shoe for men. Lightweight mesh upper, thick rubber sole."
Lakhani Touch Sports Shoe,Footwear,799,Lakhani,"Lakhani Touch canvas sports shoe for men. Cushioned insole, anti-skid outsole."
VKC Pride Ladies Sandal,Footwear,299,VKC,"VKC Pride PU sandal for women. Block heel 1.5 inch, comfortable for daily use."
Bata Weinbrenner Leather Sandal,Footwear,1299,Bata,Bata Weinbrenner men leather sandal with velcro straps. Cushioned footbed.
Liberty Force 10 Sports Shoe,Footwear,1099,Liberty,"Liberty Force 10 lace-up sport shoe for men. Mesh upper, EVA midsole."
Relaxo Sparx Running Shoe SM-110,Footwear,999,Relaxo,"Sparx SM-110 men running shoe. Dual-density midsole, breathable mesh upper."
Khadims Pro Leather Formal Shoe,Footwear,1499,Khadims,"Khadim Pro genuine leather formal Oxford shoe. Cushioned insole, TPR sole."
Bata Marie Claire Block Heel,Footwear,1299,Bata,Bata Marie Claire 2.5 inch block-heel pump for women. Genuine leather.
Paragon Vertex Formal Shoe Men,Footwear,1099,Paragon,"Paragon Vertex lace-up formal shoe. Faux leather upper, cushioned insole."
Action Dotcom School Shoe,Footwear,649,Action,Action Dotcom black synthetic leather school shoe for boys. Velcro closure.
Flite FL23 Men Slipper,Footwear,229,Flite,"Flite FL23 rubber slipper for men. Anti-skid sole, lightweight, waterproof."
Bata Comfit Leather Oxford,Footwear,1999,Bata,Bata Comfit genuine leather Oxford shoe for men. Memory foam insole. Black.
Aqualite Premium Slipper Men,Footwear,179,Aqualite,"Aqualite Premium rubber slipper for men. Soft cushioned base, anti-skid sole."
Paragon Vertex Lady Sandal,Footwear,299,Paragon,"Paragon Vertex ladies flat sandal. Faux leather upper, soft footbed."
Reebok Classic Leather Sneaker,Footwear,3999,Reebok,"Reebok Classic Leather low-top sneaker. Premium leather upper, die-cut midsole."
Puma Smash V2 Sneaker,Footwear,2999,Puma,"Puma Smash V2 lace-up sneaker. Vulcanised sole, canvas upper. Unisex."
Woodland Camel Trekking Shoe,Footwear,4999,Woodland,"Woodland waterproof leather trekking shoe. High ankle support, grip sole."
Red Chief RC3560 Formal Shoe,Footwear,3499,Red Chief,"Red Chief genuine leather formal shoe. Cushioned insole, Goodyear welt."
Bata Power Extreme Sports Shoe,Footwear,1799,Bata,"Bata Power Extreme synthetic running shoe. Cushioned EVA midsole, mesh lining."
Liberty Prefect School Shoe Girls,Footwear,749,Liberty,Liberty Prefect black school shoe for girls. Mary Jane style with velcro strap.
VKC Crown Men Formal Sandal,Footwear,399,VKC,VKC Crown PU leather men formal sandal. Adjustable buckle strap.
Adidas Lite Racer Running Shoe,Footwear,3499,Adidas,Adidas Lite Racer CLN 2.0 lightweight running shoe. Cloudfoam midsole.
Flite FL14 Ladies Flat Sandal,Footwear,199,Flite,"Flite FL14 slim flat sandal for women. Thin PVC strap, flexible rubber sole."
Zovi Canvas Casual Shoe,Footwear,599,Zovi,"Zovi lace-up canvas casual shoe. Printed upper, rubber sole. Unisex."
Classmate A4 Notebook 200 Pages,Stationery,65,Classmate,Classmate 200-page A4 single-line notebook. 70 GSM paper. Hard laminated cover.
Classmate 5-Subject Spiral Book,Stationery,120,Classmate,Classmate spiral 5-subject notebook A4 200 pages. Subject dividers included.
Navneet Youva A4 Paper 500 Sheets,Stationery,280,Navneet,Navneet Youva A4 copier paper 70 GSM 500-sheet ream. FSC certified.
JK Copier A4 Paper 500 Sheets,Stationery,320,JK Copier,"JK Copier premium A4 paper 75 GSM 500 sheets. Bright white, jam-free."
Cello Gripper Ball Pen Blue Pk10,Stationery,60,Cello,"Cello Gripper 0.5mm ballpoint pen 10-piece pack. Blue ink, rubber grip."
Flair Writo Meter Ball Pen Pk10,Stationery,75,Flair,Flair Writo-Meter 0.7mm ballpoint pen 10-piece pack. Writes 5km.
Linc Glycer Ball Pen Blue Pk20,Stationery,90,Linc,Linc Glycer smooth-writing ballpoint pen 0.6mm 20-piece pack.
Rotomac Smart Gel Pen Blue,Stationery,25,Rotomac,"Rotomac Smart 0.5mm gel pen. Smooth ink flow, ergonomic grip. Blue."
Natraj HB Pencil Pack of 10,Stationery,30,Natraj,"Natraj HB hexagonal pencil 10-piece pack. Smooth dark writing, break-resistant core."
Apsara Platinum Extra Dark Pencil,Stationery,35,Apsara,Apsara Platinum Extra Dark 10-piece HB pencil. Ideal for exams and sketching.
Camlin Drawing Book A4 25 Sheets,Stationery,65,Camlin,Camlin Kokuyo A4 25-sheet drawing book. 120 GSM acid-free cartridge paper.
Apsara Gold Eraser Pack of 3,Stationery,20,Apsara,Apsara Gold erasers 3-piece. Cleans cleanly without smudging.
Camlin Geometry Box Premium,Stationery,120,Camlin,"Camlin 12-piece geometry box with compass, ruler, protractor, set squares."
Staedtler Noris Compass,Stationery,185,Staedtler,Staedtler Noris 552 compass with extension rod. For circles up to 300mm.
Faber-Castell Colour Pencils 24pc,Stationery,180,Faber-Castell,Faber-Castell Classic Colour 24-piece colour pencil set in tin box.
Camlin Watercolour Cake Set 12ml,Stationery,95,Camlin,Camlin 12-colour watercolour cake set with brush. Artist quality pigment.
Fevistik Glue Stick 8g,Stationery,25,Fevistik,"Fevistik glue stick 8g. Smooth application, dries clear, repositionable."
3M Scotch Magic Tape 19mm 33m,Stationery,65,3M,"3M Scotch Magic Tape 19mm x 33m. Matte finish, writable surface, invisible."
Cello Transparent Tape 24mm,Stationery,35,Cello,"Cello clear BOPP stationery tape 24mm x 30m. Strong adhesive, easy tear."
Pilot V7 Hi-Tecpoint Pen Blue,Stationery,85,Pilot,Pilot Hi-Tecpoint V7 0.7mm liquid ink rollerball pen. Smooth and consistent.
Luxor Sketch Pens 12 Colours,Stationery,65,Luxor,"Luxor sketch pens 12-colour set. Water-based, non-toxic, bright colours."
Flair Whiteboard Marker Blue,Stationery,45,Flair,"Flair dry-erase whiteboard marker blue. Chisel tip, easy wipe, non-toxic."
Classmate Short Hand Notebook,Stationery,55,Classmate,"Classmate shorthand notebook 180 pages. Narrow lines, stiff cover, spiral."
Navneet Graph Book A4 32 Pages,Stationery,45,Navneet,"Navneet A4 graph book 32-page 2mm grid. 90 GSM paper, ruled margin."
Solo Ring Binder A4 2D 25mm,Stationery,195,Solo,"Solo Regent A4 2D-ring binder 25mm. Leatherite cover, holds 200 sheets."
Leitz Lever Arch File A4,Stationery,280,Leitz,Leitz 180 degree lever arch file A4 80mm spine. 600-sheet capacity.
Kangaro DS-45S Stapler,Stationery,280,Kangaro,Kangaro DS-45S heavy-duty stapler. Capacity 45 sheets. Includes pins.
Kangaro DP-480 Hole Punch,Stationery,350,Kangaro,Kangaro DP-480 2-hole punch. Capacity 30 sheets. Adjustable paper guide.
Maped Cosmic 2-Hole Sharpener,Stationery,45,Maped,Maped Cosmic 2-hole sharpener with transparent shaving container. Metal blade.
Reynolds Jiffy Black Pen Pk10,Stationery,50,Reynolds,"Reynolds Jiffy 0.5mm ballpoint pen 10-piece pack. Black ink, smooth writing."
Karnataka SSLC Maths Textbook 10,Books,85,Karnataka Textbook Society,Karnataka SSLC 10th Standard Mathematics textbook. English medium. KSEEB.
Karnataka SSLC Science Textbook 10,Books,80,Karnataka Textbook Society,Karnataka SSLC 10th Science textbook Part 1 and 2. Physics Chemistry Biology.
Karnataka SSLC Social Science 10,Books,80,Karnataka Textbook Society,Karnataka SSLC 10th Social Science textbook. History Geography Civics Economics.
1st PUC Physics Textbook Karnataka,Books,95,Karnataka Textbook Society,"Karnataka 1st PUC Physics textbook. Covers mechanics, thermodynamics, optics."
1st PUC Chemistry Textbook KA,Books,90,Karnataka Textbook Society,"Karnataka 1st PUC Chemistry textbook. Physical, Inorganic, Organic Chemistry."
2nd PUC Maths Textbook Karnataka,Books,95,Karnataka Textbook Society,"Karnataka 2nd PUC Mathematics textbook. Calculus, Algebra, Vectors."
2nd PUC Biology Textbook Karnataka,Books,90,Karnataka Textbook Society,"Karnataka 2nd PUC Biology textbook. Botany, Zoology, Genetics, Ecology."
R.D. Sharma Class 10 Mathematics,Books,380,R.D. Sharma,R.D. Sharma Mathematics Class 10 with chapter-wise solved examples and exercises.
S.L. Arora Physics Class 11,Books,480,S.L. Arora,S.L. Arora New Simplified Physics Class 11 with NCERT solutions and numericals.
P.S. Verma Biology Class 11,Books,420,P.S. Verma,P.S. Verma Biology Class 11. Detailed diagrams and explanations.
Arihant SSLC Karnataka Maths Guide,Books,220,Arihant,Arihant SSLC Karnataka 10th Maths chapter-wise solved question bank 2024.
MTG SSLC Karnataka Science Guide,Books,210,MTG,MTG Score More SSLC Karnataka 10th Science guide with model question papers.
Oswaal SSLC Question Bank Maths 10,Books,250,Oswaal,Oswaal Karnataka SSLC question bank 10th Maths. Chapter-wise solutions.
Oswaal PUC Physics Question Bank,Books,280,Oswaal,Oswaal Karnataka 1st PUC Physics question bank. Previous papers included.
HC Verma Concepts of Physics Vol 1,Books,380,HC Verma,HC Verma Concepts of Physics Part 1. Foundation for JEE and competitive exams.
NCERT Exemplar Maths Class 9,Books,95,NCERT,NCERT Exemplar Problems Solutions Mathematics Class 9. Higher-order questions.
Together with Science Class 8 CBSE,Books,220,Rachna Sagar,Together With Science Class 8 CBSE study material with practice questions.
Kiran General Knowledge Today 2024,Books,280,Kiran Prakashan,Kiran General Knowledge Today 2024 English. For SSC Banking competitive exams.
Disha NDA 15 Year Solved Papers,Books,320,Disha,Disha 15 Years NDA/NA solved papers Maths and GAT. With explanation.
RS Aggarwal Quantitative Aptitude,Books,380,RS Aggarwal,RS Aggarwal Quantitative Aptitude for competitive exams. Banking SSC Railways.
Fast Track Objective Arithmetic,Books,280,Arihant,Arihant Fast Track Objective Arithmetic. Shortcuts for quick calculation.
English Grammar In Use Intermediate,Books,650,Cambridge,Raymond Murphy English Grammar in Use Intermediate. Self-study with answer key.
Oxford School Atlas 36th Edition,Books,285,Oxford,Oxford School Atlas 36th Edition. Colour maps India and world geography.
Manorama Yearbook 2024 English,Books,250,Manorama,Manorama Yearbook 2024. Current affairs GK encyclopedia for competitive exams.
Wings of Fire APJ Abdul Kalam,Books,199,Universities Press,Wings of Fire autobiography of Dr APJ Abdul Kalam. Inspiring journey.
The Alchemist Paulo Coelho,Books,199,HarperCollins,Paulo Coelho The Alchemist international bestseller. Paperback English edition.
Rich Dad Poor Dad Robert Kiyosaki,Books,299,Warner Books,Rich Dad Poor Dad what the rich teach their kids about money. Revised edition.
Navneet Digest Kannada 9th Std,Books,180,Navneet,Navneet digests for 9th standard Karnataka. Kannada medium all subjects.
Pratibha English Reader Class 3,Books,120,Sapna Book House,Pratibha English Reader for Class 3 Karnataka syllabus. Stories and exercises.
Karnataka Kannada Barakhadi Class 1,Books,85,DSP Books,Kannada learning workbook for Class 1. Dhwani Lekhana with Barakhadi practice.
India Gate Premium Basmati Rice 5kg,General Store,580,India Gate,"India Gate Premium aged Basmati rice 5kg. Long grain, aromatic. For biriyani."
Kohinoor Charminar Basmati Rice 5kg,General Store,520,Kohinoor,Kohinoor Charminar extra-long grain Basmati rice 5kg. Fluffy on cooking.
Tata Salt Iodised 1kg,General Store,28,Tata Salt,Tata Salt iodised vacuum-evaporated crystal salt 1kg. Contains iodine and iron.
Aashirvaad Whole Wheat Atta 5kg,General Store,280,Aashirvaad,"Aashirvaad superior MP whole wheat atta 5kg. High fibre, no added preservatives."
Pillsbury Chakki Fresh Atta 5kg,General Store,265,Pillsbury,Pillsbury chakki fresh whole wheat atta 5kg. Soft rotis guaranteed.
Fortune Refined Sunflower Oil 1L,General Store,180,Fortune,"Fortune refined sunflower oil 1L. Light, low cholesterol, high in Vitamin E."
Saffola Total Cooking Oil 1L,General Store,195,Saffola,Saffola Total blended cooking oil 1L. Losorb technology for less oil absorption.
Surf Excel Easy Wash 1kg,General Store,185,Surf Excel,Surf Excel Easy Wash detergent powder 1kg. Removes tough stains in hard water.
Ariel Matic Front Load 1kg,General Store,320,Ariel,Ariel Matic front-load detergent 1kg. Dissolves completely in cold water.
