transaction_id,items
200,"PUC Physics Text, Kannada Text Book, PUC Physics Text, NCERT Science"
201,"Flush Tank, Ball Valve, Solvent Cement"
202,"School Shoes, Flip Flops, Sports Shoes, Safety Shoes, Gumboots"
203,"Sugar 1kg, Rice 1kg"
204,"General Knowledge, Dictionary, Competitive Exam Guide, Atlas, NCERT Science"
205,"Bolts Set, Sandpaper, Nuts Set, Nails Pack, Drill Bit"
206,"Spark Plug, Bike Chain, Indicator Bulb"
207,"General Knowledge, PUC Physics Text, SSLC Maths Guide"
208,"Face Cream, Washing Powder, Biscuits, Face Cream, Salt 1kg"
209,"General Knowledge, PUC Physics Text, Competitive Exam Guide, Atlas"
210,"Rice 1kg, Hair Oil, Salt 1kg, Tea Powder"
211,"Bolts Set, Drill Bit, Measuring Tape, Pliers, Pliers"
212,"Canvas Shoes, Hawai Chappal, Hawai Chappal, Safety Shoes"
213,"Gate Valve, Elbow Joint, Flexible Hose, Pipe Fitting, Shower Head"
214,"Gumboots, Canvas Shoes"
215,"Hammer, File Tool"
216,"Bathing Soap, Bathing Soap"
217,"Water Tap, Solvent Cement, Wash Basin"
218,"Canvas Shoes, Gumboots"
219,"Towel, Jeans, T-Shirt, Sweater"
220,"Measuring Tape, Measuring Tape, Hacksaw Blade, Screwdriver Set"
221,"English Grammar, English Grammar"
222,"Isolator, Tube Light, Fan Capacitor, Ceiling Fan, Wire Bundle"
223,"Ruler, Chart Paper"
224,"Innerwear, Jacket, Salwar, Lungi, Kurta"
225,"Glue Stick, Sticky Notes, Markers"
226,"Exhaust Fan, Wire Bundle, Isolator, Distribution Board, LED Bulb"
227,"Teflon Tape, Solvent Cement, Shower Head"
228,"Biscuits, Toothpaste, Face Cream"
229,"Kannada Text Book, Kannada Text Book"
230,"Elbow Joint, Shower Head, Wash Basin"
231,"Hand Saw, Chisel, Screwdriver Set, Safety Goggles"
232,"Pen Set, Compass Box, Crayons"
233,"PUC Physics Text, Story Book"
234,"Bike Chain, Disc Brake Pad, Brake Lever, Headlight Bulb"
235,"Salt 1kg, Coffee Powder, Rice 1kg"
236,"Kannada Text Book, NCERT Science, Dictionary, Dictionary"
237,"Isolator, Distribution Board"
238,"Shirt, Handkerchief, Innerwear"
239,"Isolator, Main Switch, LED Bulb, Voltage Stabilizer, Socket"
240,"MCB, Fan Capacitor, Exhaust Fan, Tube Light, Main Switch"
241,"Toothpaste, Hair Oil, Shampoo Bottle, Shampoo Bottle"
242,"Ball Valve, Flush Tank, Flexible Hose, Hose Pipe, Flush Tank"
243,"NCERT Science, English Grammar"
244,"General Knowledge, Story Book, SSLC Maths Guide, NCERT Science"
245,"Puncture Kit, Chain Sprocket, Drive Belt, Piston Ring"
246,"Wire Bundle, Ceiling Fan, MCB, Voltage Stabilizer"
247,"SSLC Maths Guide, Kannada Text Book, Dictionary, Atlas, Story Book"
248,"Jacket, Shirt, Salwar, Lungi"
249,"Elbow Joint, PVC Pipe, Teflon Tape, Ball Valve, Teflon Tape"
250,"School Shoes, Formal Shoes"
251,"Horn, Rim Lock, Carburetor Jet, Headlight Bulb, Valve Guide"
252,"Toothpaste, Washing Powder, Biscuits, Sugar 1kg, Shampoo Bottle"
253,"Wheel Bearing, Chain Sprocket, Disc Brake Pad"
254,"Wash Basin, Elbow Joint, Water Tap"
255,"Crayons, Drawing Book, Drawing Book"
256,"Elbow Joint, Water Tap, Elbow Joint"
257,"Flush Tank, Hose Pipe, Wash Basin"
258,"Screws Pack, Bolts Set"
259,"Safety Shoes, School Shoes"
260,"Flush Tank, Ball Valve, Water Tap"
261,"English Grammar, Story Book"
262,"Shower Head, Flexible Hose, Wash Basin"
263,"NCERT Science, Atlas, General Knowledge"
264,"Biscuits, Tea Powder, Washing Powder"
265,"Jacket, Saree, Innerwear, Leggings"
266,"Shampoo Bottle, Salt 1kg, Tea Powder"
267,"Hose Pipe, Teflon Tape"
268,"General Knowledge, PUC Physics Text"
269,"SSLC Maths Guide, SSLC Maths Guide, Atlas, SSLC Maths Guide, Dictionary"
270,"Stapler, Ruler"
271,"Running Shoes, Slippers"
272,"Hammer, Safety Goggles"
273,"Leggings, Handkerchief, Shirt"
274,"Face Cream, Salt 1kg, Dishwash Bar, Shampoo Bottle"
275,"Inverter Battery, LED Bulb"
276,"Sandal, Gumboots, Safety Shoes, Chappal"
277,"Pen Set, Pencil Box, Notebook"
278,"Drawing Book, Chart Paper, Stapler"
279,"Screwdriver Set, Safety Goggles, Allen Key Set, Nuts Set"
280,"Running Shoes, Safety Shoes"
281,"Casing Capping, Extension Board, Wire Bundle, Extension Board"
282,"Wash Basin, Water Tap, Pipe Fitting, Shower Head"
283,"PVC Pipe, Water Tap, Pipe Fitting, Ball Valve"
284,"Silencer Guard, Clutch Cable, Puncture Kit, Piston Ring, Rim Lock"
285,"Coolant, Drive Belt"
286,"Silencer Guard, Headlight Bulb, Fork Oil Seal, Shock Absorber, Disc Brake Pad"
287,"Dupatta, Lungi, Dupatta"
288,"Notebook, Stapler, Sticky Notes, Drawing Book, Sharpener"
289,"Glue Stick, Drawing Book, Notebook, Drawing Book, Stapler"
290,"Hacksaw Blade, Allen Key Set, Bolts Set, Sandpaper"
291,"Biscuits, Sugar 1kg, Salt 1kg, Bathing Soap"
292,"Formal Shoes, Sandal"
293,"Flexible Hose, Solvent Cement, Shower Head, Solvent Cement"
294,"Shock Absorber, Headlight Bulb, Battery Terminal, Piston Ring, Spoke Set"
295,"Glue Stick, Drawing Book, Pencil Box, Punching Machine, Ruler"
296,"Dictionary, Atlas, Atlas, Competitive Exam Guide"
297,"Wire Bundle, MCB, Distribution Board, Regulator"
298,"Gate Valve, Flush Tank, PVC Pipe, Teflon Tape"
299,"Bike Chain, Brake Lever, Rear View Mirror, Headlight Bulb, Brake Shoe"
300,"Gear Oil, Rim Lock"
301,"Kannada Text Book, PUC Physics Text"
302,"Ball Valve, Flexible Hose"
303,"Teflon Tape, Wash Basin, Wash Basin"
304,"Running Shoes, Loafers, Loafers"
305,"Loafers, Slippers, Safety Shoes, Formal Shoes"
306,"Screws Pack, Wire Brush, Nails Pack"
307,"File Folder, Punching Machine, Crayons"
308,"Eraser Pack, Eraser Pack, Compass Box"
309,"Socket, MCB, Casing Capping"
310,"Rice 1kg, Hair Oil, Sugar 1kg"
311,"Atlas, NCERT Science, Kannada Text Book, SSLC Maths Guide, Atlas"
312,"Fan Capacitor, Socket, Insulation Tape"
313,"Flip Flops, Slippers, Formal Shoes, Slippers, Slippers"
314,"Sugar 1kg, Salt 1kg, Tea Powder, Salt 1kg, Sugar 1kg"
315,"Socket, LED Bulb, Casing Capping, Inverter Battery, Socket"
316,"Kannada Text Book, SSLC Maths Guide, English Grammar, NCERT Science, Atlas"
317,"Insulation Tape, MCB, Exhaust Fan"
318,"Flip Flops, Gumboots"
319,"Glue Stick, Drawing Book, Notebook, Pen Set, Pen Set"
320,"Air Filter, Clutch Cable, Rear View Mirror"
321,"Jacket, T-Shirt, Kurta"
322,"Competitive Exam Guide, Story Book, Competitive Exam Guide, PUC Physics Text, Kannada Text Book"
323,"Wrench, Drill Bit, Allen Key Set"
324,"SSLC Maths Guide, NCERT Science"
325,"Punching Machine, File Folder, Pen Set"
326,"Washing Powder, Rice 1kg"
327,"Puncture Kit, Engine Oil, Clutch Cable"
328,"Coffee Powder, Toothpaste"
329,"Rice 1kg, Salt 1kg, Rice 1kg"
330,"Sports Shoes, Slippers, Slippers, Loafers, Hawai Chappal"
331,"Wash Basin, Pipe Fitting, Teflon Tape, Water Tap"
332,"Notebook, Eraser Pack, Pen Set"
333,"Ruler, Pencil Box, Calculator, Drawing Book"
334,"Main Switch, LED Bulb"
335,"Hawai Chappal, Slippers"
336,"PVC Pipe, Elbow Joint, Gate Valve, Elbow Joint, Flush Tank"
337,"Valve Guide, Battery Terminal, Puncture Kit"
338,"Ruler, Drawing Book"
339,"Competitive Exam Guide, SSLC Maths Guide, Dictionary, General Knowledge"
340,"Sports Shoes, Safety Shoes, Formal Shoes, Canvas Shoes, Sports Shoes"
341,"Fuel Petcock, Piston Ring, Disc Brake Pad, Battery Terminal"
342,"Flexible Hose, PVC Pipe"
343,"Chappal, Safety Shoes"
344,"Salt 1kg, Sugar 1kg, Toothpaste"
345,"Brake Lever, Puncture Kit"
346,"Chisel, Hammer"
347,"Highlighter, Pencil Box"
348,"Carburetor Jet, Chain Sprocket, Fuel Petcock, Accelerator Cable"
349,"NCERT Science, Competitive Exam Guide, NCERT Science, Atlas, Kannada Text Book"
350,"Nails Pack, Measuring Tape"
351,"Wheel Bearing, Valve Guide"
352,"Towel, Saree, Shirt"
353,"Speedometer Cable, Rear View Mirror, Clutch Plate, Tyre Tube, Shock Absorber"
354,"Tea Powder, Face Cream, Toothpaste, Hair Oil"
355,"Coffee Powder, Bathing Soap"
356,"Spark Plug, Bike Chain"
357,"Bathing Soap, Washing Powder, Tea Powder"
358,"Punching Machine, Calculator"
359,"School Shoes, Sports Shoes, Sandal"
360,"Screwdriver Set, Spanner, Hacksaw Blade"
361,"Carburetor Jet, Piston Ring, Gear Oil, Clutch Cable"
362,"Dishwash Bar, Shampoo Bottle, Hair Oil, Face Cream"
363,"Trouser, Saree, Saree"
364,"Kurta, Dupatta, Jeans, Trouser, Jacket"
365,"Shampoo Bottle, Sugar 1kg, Coffee Powder, Hair Oil, Bathing Soap"
366,"Wire Brush, Sandpaper, Screwdriver Set, Spirit Level, Hacksaw Blade"
367,"Wash Basin, Gate Valve"
368,"Sugar 1kg, Bathing Soap"
369,"Notebook, Chart Paper"
370,"Accelerator Cable, Cam Chain"
371,"Safety Goggles, Nails Pack, Sandpaper, Spirit Level"
372,"Flexible Hose, PVC Pipe"
373,"Toothpaste, Dishwash Bar"
374,"Socket, Voltage Stabilizer, Socket, Casing Capping"
375,"Spirit Level, Nuts Set, Hammer, Allen Key Set"
376,"MCB, Tube Light, Extension Board"
377,"Shirt, Jeans, Sweater, Handkerchief"
378,"General Knowledge, Dictionary, Kannada Text Book, NCERT Science, PUC Physics Text"
379,"Valve Guide, Puncture Kit, Fuel Petcock, Battery Terminal, Spark Plug"
380,"Markers, Ruler, Compass Box, Pen Set"
381,"Tyre Tube, Headlight Bulb, Clutch Plate, Fuel Petcock, Air Filter"
382,"Kannada Text Book, PUC Physics Text, English Grammar, SSLC Maths Guide, English Grammar"
383,"T-Shirt, Towel, Saree, Sweater"
384,"Sweater, Innerwear, Shirt, Trouser"
385,"Kannada Text Book, SSLC Maths Guide, Story Book, General Knowledge"
386,"Clutch Plate, Battery Terminal, Headlight Bulb, Ignition Coil, Tyre Tube"
387,"PVC Pipe, Pipe Fitting"
388,"T-Shirt, Salwar, Innerwear, T-Shirt"
389,"Fuel Petcock, Brake Lever, Silencer Guard, Carburetor Jet, Coolant"
390,"Kannada Text Book, NCERT Science, Atlas"
391,"Running Shoes, Canvas Shoes, Formal Shoes, Chappal"
392,"SSLC Maths Guide, Competitive Exam Guide"
393,"SSLC Maths Guide, Story Book"
394,"Pliers, Allen Key Set"
395,"Speedometer Cable, Tyre Tube, Engine Oil, Drive Belt"
396,"Shirt, Towel, Trouser"
397,"Measuring Tape, Wire Brush"
398,"Hawai Chappal, Formal Shoes, Slippers, School Shoes"
399,"Screwdriver Set, Safety Goggles, Wrench, File Tool, Drill Bit"
400,"Tyre Tube, Rear View Mirror"
401,"Story Book, SSLC Maths Guide, Dictionary"
402,"Trouser, Kurta"
403,"Shower Head, PVC Pipe, Solvent Cement, Gate Valve, Pipe Fitting"
404,"Flexible Hose, Pipe Fitting, Hose Pipe"
405,"Shirt, Dhoti, Jacket, Shirt, Handkerchief"
406,"Wash Basin, PVC Pipe, Elbow Joint, Solvent Cement"
407,"Shower Head, Shower Head"
408,"Flexible Hose, Gate Valve, Teflon Tape, Flexible Hose, Hose Pipe"
409,"General Knowledge, Atlas"
410,"Shower Head, Hose Pipe"
411,"Flip Flops, Loafers, Safety Shoes, Flip Flops, Formal Shoes"
412,"Solvent Cement, Gate Valve, Water Tap, Shower Head"
413,"Isolator, Tube Light"
414,"Ceiling Fan, Fan Capacitor"
415,"Shower Head, Teflon Tape, Wash Basin, Flush Tank, Pipe Fitting"
416,"Highlighter, Pencil Box"
417,"Punching Machine, Compass Box, Glue Stick, Calculator"
418,"Shock Absorber, Valve Guide"
419,"PUC Physics Text, Competitive Exam Guide"
420,"Wash Basin, Solvent Cement, Flush Tank"
421,"Washing Powder, Hair Oil, Biscuits"
422,"Switch, Ceiling Fan"
423,"Teflon Tape, Shower Head, Flush Tank, Hose Pipe, Flexible Hose"
424,"Tube Light, Exhaust Fan, LED Bulb, Switch, Fan Capacitor"
425,"Chappal, Sports Shoes, Sandal"
426,"Voltage Stabilizer, Main Switch, Distribution Board, Socket"
427,"Sharpener, Sticky Notes"
428,"School Shoes, School Shoes, Loafers"
429,"Spirit Level, Hammer, Spirit Level, File Tool, Chisel"
430,"SSLC Maths Guide, English Grammar, Competitive Exam Guide, General Knowledge"
431,"Hose Pipe, Ball Valve, PVC Pipe, PVC Pipe, Solvent Cement"
432,"Exhaust Fan, Fan Capacitor, Extension Board, Isolator"
433,"Flush Tank, Flexible Hose"
434,"Lungi, Shirt, Handkerchief, Dupatta"
435,"Calculator, Pen Set"
436,"Flush Tank, Elbow Joint, Hose Pipe"
437,"Hair Oil, Shampoo Bottle"
438,"Exhaust Fan, Distribution Board, Isolator"
439,"Tyre Tube, Gear Oil"
440,"Main Switch, Voltage Stabilizer, Voltage Stabilizer, Isolator, MCB"
441,"Tea Powder, Shampoo Bottle, Biscuits"
442,"Sugar 1kg, Tea Powder"
443,"Spoke Set, Shock Absorber, Tyre Tube"
444,"Sugar 1kg, Toothpaste, Toothpaste"
445,"Face Cream, Tea Powder, Bathing Soap"
446,"Tea Powder, Shampoo Bottle, Dishwash Bar, Face Cream, Salt 1kg"
447,"Dupatta, Dhoti, Sweater"
448,"Jeans, Jacket, Jeans"
449,"Gumboots, Gumboots, Formal Shoes, Formal Shoes"
450,"Switch, Exhaust Fan, Inverter Battery"
451,"SSLC Maths Guide, Dictionary, Atlas"
452,"Flip Flops, Loafers"
453,"Ruler, Sticky Notes, Markers, File Folder, Crayons"
454,"T-Shirt, Dupatta, Shirt, Sweater"
455,"Socket, Voltage Stabilizer"
456,"Flip Flops, Sports Shoes, Safety Shoes"
457,"Chart Paper, Chart Paper, Crayons"
458,"Hammer, File Tool, Screws Pack"
459,"Sandal, Slippers, Slippers, Chappal"
460,"Inverter Battery, Inverter Battery"
461,"Spanner, Screwdriver Set, Wrench, Sandpaper"
462,"Story Book, SSLC Maths Guide, Story Book"
463,"Towel, Lungi"
464,"Hammer, Drill Bit, Nuts Set"
465,"Dupatta, Towel, Dhoti, Trouser, Innerwear"
466,"Saree, Dhoti, Jeans, Kurta, Jacket"
467,"English Grammar, Atlas, PUC Physics Text"
468,"Kurta, Shirt, Leggings"
469,"Elbow Joint, Elbow Joint, Elbow Joint, PVC Pipe"
470,"Wire Bundle, Insulation Tape, LED Bulb, Exhaust Fan, Switch"
471,"Gate Valve, Pipe Fitting"
472,"Water Tap, Wash Basin"
473,"Brake Shoe, Clutch Cable, Air Filter, Valve Guide"
474,"Accelerator Cable, Clutch Plate, Cam Chain"
475,"Competitive Exam Guide, Kannada Text Book, SSLC Maths Guide, Competitive Exam Guide, NCERT Science"
476,"English Grammar, SSLC Maths Guide, Story Book, SSLC Maths Guide, SSLC Maths Guide"
477,"Toothpaste, Washing Powder, Tea Powder, Salt 1kg"
478,"Stapler, Compass Box"
479,"PUC Physics Text, NCERT Science, General Knowledge, Dictionary"
480,"Wire Brush, Spanner"
481,"Socket, Ceiling Fan"
482,"Casing Capping, Casing Capping, Socket, LED Bulb, Isolator"
483,"Dhoti, Dupatta, Salwar"
484,"Wrench, Safety Goggles"
485,"Bathing Soap, Face Cream, Face Cream, Sugar 1kg, Shampoo Bottle"
486,"Speedometer Cable, Drive Belt, Clutch Plate"
487,"T-Shirt, Salwar, Jeans"
488,"Pencil Box, Sticky Notes, Punching Machine, Crayons, Stapler"
489,"Pencil Box, Ruler, Chart Paper, Compass Box, Pencil Box"
490,"Pencil Box, Stapler, Markers, Stapler, Highlighter"
491,"Dupatta, Salwar, Dupatta, Leggings, T-Shirt"
492,"Sandpaper, Pliers, Bolts Set"
493,"Dupatta, Dupatta, Leggings, Jeans, Towel"
494,"Spirit Level, Measuring Tape"
